State_Name,District_Name,Crop,Main_Season,Yield,Area,Production,Years_Grown,Suitability,state_enc,district_enc,crop_enc,season_enc
ANDHRA PRADESH,ANANTAPUR,RAGI,Kharif,1.876901495385874,3432.0,6768.0,18,1032.5261408972315,1,24,93,0
ANDHRA PRADESH,ANANTAPUR,RAGI,Rabi,1.659878411913573,697.7058823529412,1191.2941176470588,17,212.00769175303049,1,24,93,1
ANDHRA PRADESH,ANANTAPUR,RICE,Kharif,2.781438137977302,30055.555555555555,83229.38888888889,18,9020.135529549452,1,24,98,0
ANDHRA PRADESH,ANANTAPUR,RICE,Rabi,2.446260090426757,16863.555555555555,42081.77777777778,18,5062.334422720923,1,24,98,1
ANDHRA PRADESH,ANANTAPUR,RICE,Whole Year,2.8253740029440966,29211.0,82532.0,1,8765.095224401766,1,24,98,2
ANDHRA PRADESH,ANANTAPUR,SAFFLOWER,Rabi,0.41347096488118484,623.2666666666667,102.86666666666666,15,188.7280825789287,1,24,101,1
ANDHRA PRADESH,ANANTAPUR,SAFFLOWER,Whole Year,0.7068965517241379,58.0,41.0,1,17.924137931034483,1,24,101,2
ANDHRA PRADESH,ANANTAPUR,SAMAI,Kharif,0.28843537414965986,133.0,44.0,2,40.273061224489794,1,24,102,0
ANDHRA PRADESH,ANANTAPUR,SAPOTA,Kharif,12.788714046849316,2146.0,27304.333333333332,3,651.7732284281095,1,24,104,0
ANDHRA PRADESH,ANANTAPUR,SESAMUM,Kharif,0.225,6.5,1.5,2,2.285,1,24,105,0
ANDHRA PRADESH,ANANTAPUR,SESAMUM,Rabi,0.35,6.0,1.5,2,2.21,1,24,105,1
ANDHRA PRADESH,ANANTAPUR,SMALL MILLETS,Kharif,0.5762785848965402,926.7142857142857,524.9285714285714,14,279.7600528652236,1,24,106,0
ANDHRA PRADESH,ANANTAPUR,SMALL MILLETS,Rabi,0.6546605636532498,36.875,21.875,8,12.25529633819195,1,24,106,1
ANDHRA PRADESH,ANANTAPUR,SOYABEAN,Kharif,1.1243341878362327,775.1818181818181,1121.6363636363637,11,234.32914596724717,1,24,108,0
